Parish;Quarters;Price
Belém;2ndQ2022;4048
Campo de Ourique;1stq2018;2965
Campo de Ourique;2ndQ2018;3095
Campo de Ourique;3rdQ2018;3274
Campo de Ourique;4thQ2018;3477
Campo de Ourique;1stq2019;3583
Campo de Ourique;2ndQ2019;3640
Campo de Ourique;3rdQ2019;3906
Campo de Ourique;4thQ2019;3846
Campo de Ourique;1stq2020;3859
Campo de Ourique;2ndQ2020;3859
Campo de Ourique;3rdQ2020;3687
Campo de Ourique;4thQ2020;3687
Campo de Ourique;1stq2021;3553
Campo de Ourique;2ndQ2021;3548
Campo de Ourique;3rdQ2021;3716
Campo de Ourique;4thQ2021;3716
Campo de Ourique;1stq2022;4128
Campo de Ourique;2ndQ2022;4366
Estrela;1stq2018;3051
Estrela;2ndQ2018;3472
Estrela;3rdQ2018;3540
Estrela;4thQ2018;3507
Estrela;1stq2019;3520
Estrela;2ndQ2019;3487
Estrela;3rdQ2019;3575
Estrela;4thQ2019;3846
Estrela;1stq2020;4005
Estrela;2ndQ2020;4200
Estrela;3rdQ2020;4223
Estrela;4thQ2020;4223
Estrela;1stq2021;4004
Estrela;2ndQ2021;3835
Estrela;3rdQ2021;3965
Estrela;4thQ2021;3965
Estrela;1stq2022;4167
Estrela;2ndQ2022;4254
Misericórdia;1stq2018;3667
Misericórdia;2ndQ2018;3894
Misericórdia;3rdQ2018;3998
Misericórdia;4thQ2018;4126
Misericórdia;1stq2019;4288
Misericórdia;2ndQ2019;4718
Misericórdia;3rdQ2019;4574
Misericórdia;4thQ2019;4813
Misericórdia;1stq2020;5112
Misericórdia;2ndQ2020;4839
Misericórdia;3rdQ2020;4963
Misericórdia;4thQ2020;4963
Misericórdia;1stq2021;4380
Misericórdia;2ndQ2021;4401
Misericórdia;3rdQ2021;4010
Misericórdia;4thQ2021;4010
Misericórdia;1stq2022;4392
Misericórdia;2ndQ2022;4412
Parque das Nações;1stq2018;3351
Parque das Nações;2ndQ2018;3496
Parque das Nações;3rdQ2018;3143
Parque das Nações;4thQ2018;3247
Parque das Nações;1stq2019;3311
Parque das Nações;2ndQ2019;3302
Parque das Nações;3rdQ2019;4049
Parque das Nações;4thQ2019;4132
Parque das Nações;1stq2020;4162
Parque das Nações;2ndQ2020;4217
Parque das Nações;3rdQ2020;4076
Parque das Nações;4thQ2020;4076
Parque das Nações;1stq2021;4000
Parque das Nações;2ndQ2021;4070
Parque das Nações;3rdQ2021;4335
Parque das Nações;4thQ2021;4335
Parque das Nações;1stq2022;4390
Parque das Nações;2ndQ2022;4525
Penha de França;1stq2018;2130
Penha de França;2ndQ2018;2285
Penha de França;3rdQ2018;2353
Penha de França;4thQ2018;2543
Penha de França;1stq2019;2708
Penha de França;2ndQ2019;2811
Penha de França;3rdQ2019;2889
Penha de França;4thQ2019;2936
Penha de França;1stq2020;2973
Penha de França;2ndQ2020;3012
Penha de França;3rdQ2020;2967
Penha de França;4thQ2020;2967
Penha de França;1stq2021;2849
Penha de França;2ndQ2021;2840
Penha de França;3rdQ2021;3037
Penha de França;4thQ2021;3037
Penha de França;1stq2022;3136
Penha de França;2ndQ2022;3159
Santa Clara;1stq2018;1739
Santa Clara;2ndQ2018;1780
Santa Clara;3rdQ2018;1909
Santa Clara;4thQ2018;1969
Santa Clara;1stq2019;2058
Santa Clara;2ndQ2019;2023
Santa Clara;3rdQ2019;2090
Santa Clara;4thQ2019;2354
Santa Clara;1stq2020;2393
Santa Clara;2ndQ2020;2261
Santa Clara;3rdQ2020;2102
Santa Clara;4thQ2020;2102
Santa Clara;1stq2021;2097
Santa Clara;2ndQ2021;2350
Santa Clara;3rdQ2021;2440
Santa Clara;4thQ2021;2440
Santa Clara;1stq2022;2475
Santa Clara;2ndQ2022;2589
Santa Maria Maior;1stq2018;3528
Santa Maria Maior;2ndQ2018;3632
Santa Maria Maior;3rdQ2018;3825
Santa Maria Maior;4thQ2018;4297
Santa Maria Maior;1stq2019;4451
Santa Maria Maior;2ndQ2019;4509
Santa Maria Maior;3rdQ2019;4451
Santa Maria Maior;4thQ2019;4483
Santa Maria Maior;1stq2020;4807
Santa Maria Maior;2ndQ2020;5111
Santa Maria Maior;3rdQ2020;5372
Santa Maria Maior;4thQ2020;5372
Santa Maria Maior;1stq2021;5128
Santa Maria Maior;2ndQ2021;4207
Santa Maria Maior;3rdQ2021;4058
Santa Maria Maior;4thQ2021;4058
Santa Maria Maior;1stq2022;4500
Santa Maria Maior;2ndQ2022;4536
Santo António;1stq2018;4083
Santo António;2ndQ2018;4105
Santo António;3rdQ2018;4532
Santo António;4thQ2018;4568
Santo António;1stq2019;4742
Santo António;2ndQ2019;5131
Santo António;3rdQ2019;4889
Santo António;4thQ2019;4932
Santo António;1stq2020;5340
Santo António;2ndQ2020;5550
Santo António;3rdQ2020;5540
Santo António;4thQ2020;5540
Santo António;1stq2021;5425
Santo António;2ndQ2021;5359
Santo António;3rdQ2021;5455
Santo António;4thQ2021;5455
Santo António;1stq2022;5624
Santo António;2ndQ2022;5547
São Vicente;1stq2018;2738
São Vicente;2ndQ2018;2885
São Vicente;3rdQ2018;2960
São Vicente;4thQ2018;3250
São Vicente;1stq2019;3407
São Vicente;2ndQ2019;3467
São Vicente;3rdQ2019;3470
São Vicente;4thQ2019;3402
São Vicente;1stq2020;3402
São Vicente;2ndQ2020;3375
São Vicente;3rdQ2020;3300
São Vicente;4thQ2020;3300
São Vicente;1stq2021;3471
São Vicente;2ndQ2021;3429
São Vicente;3rdQ2021;3550
São Vicente;4thQ2021;3550
São Vicente;1stq2022;3581
São Vicente;2ndQ2022;3730
